Preg.1.1,Preg.1.2,Preg.1.3,Preg.1.4,Preg.1.4.a,Preg.2.1,Preg.2.2,Preg.2.3,Preg.2.4,Preg.2.5,Preg.2.6,Preg.2.7,Preg.2.8,Preg.2.9,Preg.2.10,Preg.2.11,Preg.2.12,Preg.2.13,Preg.2.14,Preg.2.15,Preg.2.16
28,1,1,2,turismo,,2,0,1,0,2,0,1,1,1,0,0,1,1,3,5
44,0,0,3,,0,0,0,1,1,0,0,1,1,1,0,0,0,1,3,1
29,1,2,2,ing. Civil,0,3,0,3,0,3,2,0,0,0,1,1,0,1,3,4
,0,0,2,turismo,0,3,0,3,1,3,3,,,,0,1,1,1,,5
23,0,1,0,,0,0,0,2,0,2,1,0,0,0,0,0,0,0,3,14
25,1,1,2,turismo,0,2,0,3,1,0,1,1,1,1,1,1,1,1,0,8
30,0,1,2,turismo,0,0,0,2,0,1,1,1,1,1,0,1,1,1,0,4
29,1,1,2,turismo,0,3,0,1,1,1,1,1,1,1,0,1,1,1,1,6
25,1,1,2,turismo y contabilidad,0,0,0,2,0,3,0,0,0,1,0,0,0,0,3,7
25,1,1,2,turismo,1,1,0,2,1,0,0,1,1,1,0,1,1,1,3,7
34,1,2,2,turismo,0,0,0,2,1,1,1,0,1,1,0,0,0,1,2,3
23,1,1,2,contabilidad,0,0,0,2,1,0,0,1,1,1,0,0,0,1,3,8
40,0,1,2,turismo,0,3,0,2,1,0,1,1,1,1,0,0,0,0,3,3
25,1,1,2,turismo,0,3,0,1,0,1,0,1,1,1,0,1,1,1,2,6
25,1,1,2,turismo,0,0,0,2,0,2,0,0,0,1,0,0,1,1,2,3
26,1,1,2,turismo,0,0,0,2,0,2,0,1,1,1,0,0,0,1,3,14
26,1,1,2,turismo,0,0,0,2,0,2,0,1,1,1,1,1,0,1,3,8
22,1,1,2,turismo,0,0,0,2,1,2,0,1,0,1,0,0,0,0,3,15
28,1,1,2,turismo,0,3,0,2,1,2,0,1,0,1,0,0,0,0,1,7
29,1,1,2,turismo,0,3,0,2,1,2,0,1,0,1,0,0,0,0,2,5
30,1,1,2,turismo,0,3,0,2,1,2,0,1,0,1,0,1,0,0,0,10
35,1,1,2,turismo,0,3,0,1,1,2,0,1,1,1,0,0,1,1,3,5
40,1,1,2,turismo,0,3,0,1,1,2,0,1,0,1,0,1,0,0,3,20
47,1,1,2,turismo,0,3,0,1,0,2,1,1,1,1,0,1,1,1,3,8
42,1,1,2,turismo,0,3,0,1,0,2,1,1,1,1,0,0,1,1,2,10
38,0,1,2,turismo,0,3,0,1,0,1,1,1,1,1,1,1,1,1,0,15
36,0,2,2,turismo,0,3,0,1,0,1,1,1,0,1,0,0,0,0,3,15
37,0,2,2,turismo,0,3,0,1,0,1,1,1,0,1,0,0,0,0,3,16
36,0,2,2,turismo,0,3,0,1,1,1,1,1,1,1,0,0,1,1,3,4
29,0,2,2,turismo,0,3,0,1,1,1,1,1,1,1,0,1,1,1,3,2
27,0,2,2,turismo,0,3,0,0,1,1,1,1,1,1,0,1,1,1,0,8
26,0,2,2,turismo,0,0,0,0,1,1,1,1,1,1,0,1,1,1,3,12
25,0,2,2,turismo,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,12
31,0,2,2,turismo,0,0,0,0,1,1,1,1,0,1,0,0,0,0,3,6
33,0,2,2,turismo,0,0,0,0,1,1,1,1,1,1,0,1,1,1,2,5
34,0,2,2,turismo,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,9
37,0,2,2,turismo,0,0,0,0,1,1,1,1,0,1,0,0,0,0,3,10
38,0,2,2,turismo,0,0,0,0,1,1,1,1,1,1,0,1,1,0,3,5